Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,7.34,62.84,61.31325000000001,C,10.3,Yes,No,Master's,Medium,1,5.9
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,8.8,98.23,80.6925,B,27.1,No,No,High School,Low,4,4.3
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,0.47,91.22,69.64750000000001,C,12.4,Yes,No,High School,Low,9,6.1
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,0.42,55.48,51.16475,D,25.5,No,Yes,High School,Low,8,4.9
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,6.43,87.43,69.67824999999999,C,13.3,Yes,No,Master's,Medium,6,4.5
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,5.48,67.65,68.90950000000001,C,25.3,Yes,No,Unknown,Medium,6,5.6
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,1.55,87.51,85.157,A,22.1,Yes,No,Bachelor's,High,2,4.0
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,5.48,90.04,71.9525,B,16.7,Yes,Yes,Unknown,Low,5,7.8
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,9.74,57.57,65.51275,C,18.1,No,Yes,PhD,High,9,4.8
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,6.31,83.09,82.23025,B,9.4,Yes,No,Unknown,High,8,7.1
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,85.54,67.58,77.77,4.49,93.14,80.58525,B,7.9,Yes,Yes,High School,Low,4,8.2
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,8.28,66.17,77.5345,B,22.9,Yes,No,Unknown,Low,7,8.6
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,2.13,54.02,73.10999999999999,B,26.2,No,No,Unknown,Medium,9,6.8
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,87.73,91.41,50.94,4.14,51.36,69.56125,C,23.0,No,No,PhD,Medium,5,7.9
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,94.98,64.46,59.6,51.08,5.28,55.5,64.5465,C,27.8,No,Yes,Bachelor's,High,2,6.3
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,89.29,78.15,94.42,5.05,50.21,70.289,B,27.3,Yes,No,Bachelor's,Low,2,6.5
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,70.52,68.39,55.13,9.21,66.35,69.423,C,24.5,No,Yes,High School,High,8,6.7
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,56.66,75.29,99.99,2.93,64.97,62.05775,C,27.5,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,58.18,81.04,58.22,0.57,55.52,62.04299999999999,C,9.2,Yes,Yes,High School,High,8,7.3
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,53.43,94.68,83.73,9.16,82.56,78.69449999999999,B,23.3,No,Yes,Master's,Low,5,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,48.7,59.61,97.45,2.17,99.6,64.55099999999999,C,23.8,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,51.07,54.35,68.11,3.79,95.05,71.33325,B,8.8,No,No,Unknown,High,10,8.4
