,Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
0,S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,7.34,62.84,59.8865,C,10.3,Yes,No,Master's,Medium,1,5.9
1,S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,8.8,98.23,81.917,F,27.1,No,No,High School,Low,4,4.3
2,S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,0.47,91.22,67.717,F,12.4,Yes,No,High School,Low,9,6.1
3,S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,0.42,55.48,51.6535,A,25.5,No,Yes,High School,Low,8,4.9
4,S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,6.43,87.43,71.403,A,13.3,Yes,No,Master's,Medium,6,4.5
5,S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,5.48,67.65,68.09,D,25.3,Yes,No,Unknown,Medium,6,5.6
6,S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,1.55,87.51,82.8575,A,22.1,Yes,No,Bachelor's,High,2,4.0
7,S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,5.48,90.04,71.36850000000001,F,16.7,Yes,Yes,Unknown,Low,5,7.8
8,S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,9.74,57.57,65.8605,D,18.1,No,Yes,PhD,High,9,4.8
9,S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,6.31,83.09,82.75550000000001,C,9.4,Yes,No,Unknown,High,8,7.1
10,S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,85.54,67.58,77.77,4.49,93.14,79.98599999999999,D,7.9,Yes,Yes,High School,Low,4,8.2
11,S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,8.28,66.17,77.6705,B,22.9,Yes,No,Unknown,Low,7,8.6
12,S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,2.13,54.02,70.909,D,26.2,No,No,Unknown,Medium,9,6.8
13,S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,87.73,91.41,50.94,4.14,51.36,66.7105,A,23.0,No,No,PhD,Medium,5,7.9
14,S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,94.98,64.46,59.6,51.08,5.28,55.5,63.699999999999996,C,27.8,No,Yes,Bachelor's,High,2,6.3
15,S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,89.29,78.15,94.42,5.05,50.21,70.56700000000001,B,27.3,Yes,No,Bachelor's,Low,2,6.5
16,S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,70.2,70.52,68.39,55.13,9.21,66.35,68.44149999999999,D,24.5,No,Yes,High School,High,8,6.7
17,S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,56.66,75.29,99.99,2.93,64.97,65.373,C,27.5,No,No,Bachelor's,Medium,8,7.4
18,S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,79.77,58.18,81.04,58.22,0.57,55.52,61.4295,A,9.2,Yes,Yes,High School,High,8,7.3
19,S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,53.43,94.68,83.73,9.16,82.56,80.2355,C,23.3,No,Yes,Master's,Low,5,7.9
20,S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,48.7,59.61,97.45,2.17,99.6,68.05599999999998,C,23.8,No,No,PhD,High,2,7.1
21,S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,51.07,54.35,68.11,3.79,95.05,72.2395,B,8.8,No,No,Unknown,High,10,8.4
22,S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,43.79,81.36,86.72,5.31,62.64,59.3065,F,27.7,No,Yes,PhD,Low,8,7.5
23,S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,61.85,93.31,69.71,67.54,9.76,88.5,81.2455,A,5.2,Yes,Yes,Bachelor's,Low,4,8.6
24,S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,95.86,58.15,65.25,5.35,96.84,78.4575,B,15.9,No,Yes,Unknown,Low,9,7.8
25,S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,75.21,55.85,60.09,4.48,95.32,76.841,B,5.5,No,No,PhD,Medium,10,7.7
26,S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,43.04,90.43,77.95,91.05,5.84,94.23,81.05000000000001,B,18.1,No,No,PhD,High,6,8.3
27,S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,63.85,73.21,51.01,65.02,62.87,9.71,89.32,71.42499999999998,F,15.3,No,Yes,High School,High,10,7.3
28,S1028,Liam,Davis,student28@university.com,Female,21,Engineering,62.44,57.7,94.1,99.87,64.16,8.18,64.65,77.0615,F,20.6,Yes,No,Master's,Low,7,4.9
29,S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.73,48.02,70.38,70.3,99.95,1.69,54.18,62.43699999999999,D,24.2,Yes,Yes,PhD,Low,3,4.4
30,S1030,Ahmed,Brown,student30@university.com,Female,22,Business,59.64,86.31,44.03,60.61,66.37,8.03,74.39,66.0145,D,24.2,Yes,Yes,Unknown,Medium,2,5.6
31,S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,78.74,53.05,48.48,81.44,71.14,8.41,52.74,59.4345,A,23.1,Yes,No,Master's,Low,2,8.1
32,S1032,Maria,Smith,student32@university.com,Female,21,Business,66.41,53.42,58.54,62.21,99.5,6.91,99.92,75.3605,A,7.5,Yes,No,Master's,Medium,3,4.1
33,S1033,Sara,Williams,student33@university.com,Male,19,Engineering,91.02,56.5,42.61,74.7,68.47,6.57,67.92,60.840500000000006,F,15.4,No,No,Unknown,Medium,7,4.8
34,S1034,Emma,Davis,student34@university.com,Female,21,CS,59.2,75.21,58.56,74.13,68.31,4.41,97.92,75.453,F,25.4,No,Yes,Master's,Medium,8,4.5
35,S1035,Ahmed,Smith,student35@university.com,Female,23,CS,73.23,79.58,43.6,72.68,91.39,6.42,88.66,72.686,F,21.4,No,No,Bachelor's,Low,4,4.2
36,S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,50.68,41.06,54.16,89.8,65.6,7.38,70.56,64.58699999999999,B,22.0,Yes,Yes,Master's,High,3,8.1
37,S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,74.08,54.51,55.94,60.83,61.69,1.23,55.92,54.846000000000004,F,10.7,Yes,Yes,High School,Low,7,5.4
38,S1038,Ali,Williams,student38@university.com,Male,18,Business,52.79,65.86,99.66,95.22,71.16,2.57,61.86,76.036,B,13.1,Yes,No,Master's,High,3,7.6
39,S1039,John,Johnson,student39@university.com,Female,23,Mathematics,98.89,59.92,54.13,89.57,85.03,1.94,83.65,70.524,B,28.9,No,No,PhD,Low,8,4.7
40,S1040,John,Johnson,student40@university.com,Male,24,Business,89.53,93.05,54.35,66.66,52.16,8.41,91.5,74.41499999999999,A,26.2,Yes,No,Master's,Medium,4,6.0
41,S1041,Omar,Smith,student41@university.com,Male,23,CS,74.51,87.26,81.21,59.03,68.7,6.8,98.97,82.207,C,9.1,Yes,Yes,High School,High,8,4.6
42,S1042,Sara,Davis,student42@university.com,Male,20,CS,54.33,77.55,91.56,63.98,67.31,4.51,56.61,70.08850000000001,D,18.6,No,No,High School,Low,2,4.0
43,S1043,Liam,Williams,student43@university.com,Male,18,Engineering,79.62,60.28,63.22,66.63,62.24,8.26,57.8,62.5355,D,17.3,Yes,Yes,Master's,Low,8,7.1
44,S1044,Maria,Smith,student44@university.com,Male,22,Business,87.94,82.04,92.54,77.85,82.71,7.17,52.12,74.6105,A,16.1,No,Yes,Bachelor's,High,8,6.4
45,S1045,Maria,Brown,student45@university.com,Male,21,CS,59.54,90.62,60.41,52.32,64.5,9.14,63.02,66.46950000000001,A,16.8,Yes,Yes,Master's,Medium,10,6.1
